status pozyczki,kwota kredytu,wiek,plec,rodzaj zrodla dochodu,miesieczny dochod netto,ktore rolowanie,okres w jakim pobieral dochod,okres w jakim bedzie pobieral dochod,opoznienie splaty
splacona,400,64,M,13,3900,0,37,48,0
splacona_cz,200,60,K,13,1000,0,60,48,9
windykacja,200,73,M,13,1700,0,17,48,1885
splacona_cz,450,47,M,11,2300,0,123,48,0
splacona_cz,299.15,53,K,11,1400,4,164,48,0
splacona_cz,200,54,M,11,2094.17,4,244,48,1
splacona_cz,300,80,K,13,1167.94,3,372,48,0
windykacja,1136.54,36,M,12,1500,4,36,0,1885
splacona_cz,500,50,K,11,1800,8,56,48,1
splacona_cz,770.69,64,K,13,860,2,83,48,3
splacona_cz,200,66,M,13,1611,0,144,48,0
odmowa,0,72,K,13,892,0,216,48,0
splacona_cz,500,37,M,12,2000,0,71,48,0
splacona,200,55,K,11,1400,8,120,48,0
splacona_cz,200,57,K,98,980,7,13,48,0
splacona_cz,500,37,M,11,3898,3,184,48,5
splacona_cz,300,55,K,12,1756,0,2,0,0
splacona_cz,400,63,K,13,1650,0,85,48,0
splacona,500,37,M,11,2800,0,158,48,2
splacona_cz,300,71,K,13,1389,0,71,48,0
splacona_cz,423.23,32,M,11,2700,7,18,48,9
odmowa,0,25,K,12,1156,0,12,8,0
splacona_cz,200,66,K,13,974,0,204,48,0
splacona,400,46,M,11,2600,0,5,48,0
splacona_cz,300,23,K,12,1500,7,18,10,0
odmowa,0,33,M,12,1400,0,29,23,0
splacona_cz,500,54,M,11,2080,2,321,48,2
splacona_cz,200,54,K,16,749.28,8,68,48,0
splacona_cz,249.3,58,K,16,2100,3,42,48,4
splacona_cz,500,52,M,13,4200,0,60,48,0
splacona_cz,1000,70,K,13,2291,4,74,48,0
splacona_cz,500,30,K,12,1447,8,35,10,1
splacona,300,47,M,11,1566.82,0,352,48,8
splacona_cz,396.89,63,K,13,3700,8,30,48,0
splacona_cz,200,76,K,13,965,7,248,48,0
splacona,200,75,K,13,1536,3,39,48,0
splacona_cz,300,72,M,13,1426,8,80,48,0
splacona,300,31,M,11,2700,0,67,48,15
splacona_cz,700,38,K,11,3178.76,3,124,48,4
splacona_cz,700,33,K,11,3100,3,124,48,4
splacona,200,52,M,12,1100,0,14,5,1
splacona_cz,738.6,56,K,12,1600,1,17,3,19
splacona_cz,300,66,K,13,802.83,2,204,48,1
odmowa,0,29,K,17,540,0,96,48,0
windykacja,500,26,M,12,1880,0,12,6,1882
splacona_cz,300,47,K,98,911,8,101,48,1
splacona_cz,390.88,60,K,13,1400,1,49,48,0
windykacja,300,47,K,12,1038.68,4,26,2,1882
splacona_cz,200,58,K,99,780,4,5,0,4
splacona_cz,300,64,K,13,1100,5,108,48,0
splacona_cz,350,74,K,11,1348.95,0,117,48,0
splacona_cz,500,51,K,17,990,4,85,48,1
splacona_cz,349.66,65,M,13,1601.87,4,48,48,5
splacona,2000,58,M,98,20000,1,133,48,4
splacona_cz,400,66,M,16,1473.04,5,168,48,0
splacona_cz,257.27,55,M,11,2100,5,41,48,4
splacona_cz,600,64,K,13,1233,1,127,48,0
splacona_cz,215.24,51,M,16,1045,7,203,48,3
splacona_cz,200,59,K,16,634,7,54,48,0
splacona_cz,300,65,K,13,1582.15,0,109,48,0
splacona,300,61,M,16,1398,0,397,48,5
splacona_cz,600,62,M,16,837,0,235,48,0
splacona_cz,400,61,K,13,1500,4,64,48,10
splacona,693.16,34,K,11,2200,4,41,48,0
splacona,200,41,K,11,2505,2,167,48,0
odmowa,0,32,K,99,1200,0,13,10,0
splacona_cz,400,26,K,17,1200,0,179,48,1
splacona_cz,200,71,M,13,1642.87,2,73,48,0
splacona_cz,600,51,M,16,2150,0,85,48,3
splacona_cz,300,63,K,13,714,1,226,48,0
splacona_cz,1000,42,K,98,6000,4,21,48,4
splacona_cz,700,59,K,13,1872,8,38,48,0
odmowa,0,44,K,12,1300,0,83,48,0
splacona,600,55,K,11,1300,0,71,48,6
splacona_cz,500,55,K,12,2200,1,11,4,0
splacona_cz,400,59,K,16,1589,1,30,48,4
splacona,300,51,M,12,3000,0,131,48,0
windykacja,300,39,K,16,1300,0,28,48,1880
splacona_cz,300,56,K,11,2800,3,13,48,0
splacona_cz,200,57,K,11,1187.06,1,137,48,4
splacona_cz,500,24,M,11,1800,0,12,48,4
splacona,391.97,65,K,13,1507,2,63,48,0
splacona_cz,800,56,K,13,3440,8,55,48,0
splacona,342.86,61,K,13,1087,2,75,48,98
odmowa,0,27,M,11,1500,0,23,48,0
splacona_cz,200,63,M,13,1162,8,224,48,0
splacona,380.9,56,K,16,2300,9,66,48,0
windykacja_sp,200,47,K,12,990.34,1,71,48,226
splacona,200,56,M,11,1460.17,0,64,48,4
splacona_cz,400,51,K,12,1000,8,37,1,0
splacona_cz,400,61,M,12,1000,8,26,10,0
splacona_cz,800,69,K,13,2120,3,122,48,0
splacona_cz,900,66,M,13,3040,0,205,48,1
splacona,200,54,K,12,1200,0,3,1,0
odmowa,0,50,M,13,941,0,72,48,0
splacona_cz,400,67,K,13,1137.19,0,100,48,0
splacona_cz,1000,81,K,13,2090,0,249,48,0
windykacja,200,26,K,11,1000,0,3,48,1876
splacona_cz,300,69,K,13,1027,4,196,48,1
splacona_cz,400,61,K,13,1107,2,18,48,0
splacona,400,24,M,98,1200,0,20,48,5
splacona_cz,200,61,K,13,1635,8,123,48,0
splacona,438.67,51,K,11,1577.42,1,209,48,20
splacona_cz,624.58,42,K,98,5000,3,88,48,6
splacona,500,63,K,13,1900,2,92,48,0
splacona_cz,500,44,K,11,1738.57,1,61,48,2
splacona,400,63,K,16,2084.79,2,145,48,0
odmowa,0,38,M,98,1600,0,5,48,0
splacona_cz,300,36,M,99,750,0,7,6,5
splacona_cz,400,69,K,13,1017,1,165,48,0
splacona_cz,500,48,K,11,1700,0,93,48,0
splacona_cz,500,45,M,12,1952.35,1,11,3,4
splacona_cz,200,57,K,99,670,0,175,48,0
odmowa,0,22,M,12,2800,0,41,19,0
odmowa,0,20,K,99,4800,0,12,2,0
splacona_cz,300,67,K,16,957,0,204,48,0
splacona_cz,278.98,39,K,98,1200,8,49,48,0
splacona,200,63,K,13,714,9,226,48,0
splacona_cz,883.93,63,M,13,2474,3,19,48,3
odmowa,0,35,M,99,1190,0,4,1,0
splacona_cz,300,71,K,13,1000,5,68,48,0
splacona,400,71,K,13,1016,1,193,48,0
splacona_cz,561.8,66,K,16,892,2,204,48,1
splacona_cz,1500,58,M,98,3000,1,72,48,6
splacona,600,43,M,98,3014,0,106,48,0
splacona_cz,900,59,K,17,684,8,209,48,0
splacona_cz,200,62,K,13,997,8,83,48,0
splacona_cz,530,63,K,13,1691.3,4,77,48,10
splacona_cz,1000,66,K,13,930,2,134,48,0
odmowa,0,75,K,13,620,0,157,48,0
windykacja_sp,500,44,M,13,2000,0,21,48,212
windykacja,500,42,K,11,1870,1,114,48,1873
splacona_cz,1300,56,K,16,2300,0,66,48,23
splacona_cz,600,73,K,13,640,2,142,48,0
splacona_cz,350,71,K,13,729.03,9,261,48,2
odmowa,0,75,K,13,1372,0,145,48,0
splacona,400,34,K,11,2200,0,14,48,0
splacona_cz,300,74,K,13,1412,2,208,48,0
splacona_cz,400,74,K,13,1140,0,241,48,0
splacona_cz,200,32,K,12,1865,5,34,10,0
splacona,400,27,K,11,2300,0,26,48,0
splacona_cz,600,36,K,11,2400,7,117,48,10
splacona,759.23,73,K,13,2534,2,130,48,10
splacona_cz,700,62,K,13,2066,8,133,48,2
splacona,300,71,M,13,1420,2,56,48,3
odmowa,0,52,K,11,1300,0,61,48,0
splacona_cz,300,72,M,13,562,4,85,48,2
splacona_cz,315.12,74,M,13,960,8,143,48,2
splacona_cz,500,54,M,11,1320,8,346,48,0
splacona_cz,600,78,M,13,2609,0,195,48,0
splacona_cz,379.9,64,K,13,930,5,97,48,0
splacona,750,56,M,16,588,0,426,48,58
splacona_cz,265.58,63,K,13,1189,8,73,48,0
splacona_cz,200,34,M,11,1800,8,169,48,0
windykacja,300,38,M,98,1200,0,4,48,1871
splacona_cz,500,42,K,11,2824,0,105,48,1
splacona_cz,996,48,M,11,2500,4,207,48,2
splacona_cz,597.15,48,M,12,600,9,27,13,0
splacona,500,23,M,12,2100,0,17,15,189
odmowa,0,32,M,12,1651.78,0,23,15,0
splacona_cz,300,36,K,12,1300,0,7,4,0
splacona_cz,300,55,K,16,1500,3,5,48,2
splacona_cz,300,27,M,12,1100,0,48,40,0
splacona_cz,400,59,K,11,1500,7,89,48,2
splacona_cz,200,55,K,16,1045.6,9,16,48,0
splacona_cz,200,56,M,11,1460.17,5,65,48,0
splacona_cz,200,32,K,12,980,8,15,0,1
splacona_cz,200,44,M,11,2284.23,3,303,48,0
splacona_cz,254.63,58,K,16,634.64,7,140,48,0
splacona_cz,200,70,K,16,959.6,8,119,48,0
splacona_cz,200,32,M,11,2000,2,9,48,0
splacona_cz,299.12,64,K,16,1389,3,95,48,0
odmowa,0,34,M,99,1700,0,1,1,0
splacona_cz,200,73,K,13,730,7,564,48,1
splacona_cz,400,61,K,16,1411,5,70,48,2
splacona_cz,630,64,K,13,3251,2,142,48,0
splacona,600,55,K,11,1500,0,114,48,0
splacona_cz,1000,73,M,13,2612,0,85,48,0
odmowa,0,36,M,99,1126,0,16,10,0
splacona,974.28,74,K,13,2100,7,59,48,12
splacona,400,44,K,11,1400,0,29,48,1
splacona_cz,300,36,K,12,1200,8,14,1,0
splacona_cz,300,43,K,11,1286.16,1,121,48,0
splacona_cz,300,40,K,12,1027,8,59,48,0
odmowa,0,68,K,13,1547,0,72,48,0
splacona,500,47,M,99,1400,0,20,0,0
splacona,500,58,K,12,1400,0,15,6,7
odmowa,0,36,K,12,1550,0,24,18,0
splacona_cz,374.91,55,K,12,1000,2,69,48,0
odmowa,0,38,M,99,1785,0,2,0,0
splacona_cz,350,63,K,13,1130,0,107,48,3
splacona_cz,267.98,53,K,11,1050,7,37,48,2
splacona,200,22,K,12,700,1,5,1,2
odmowa,0,56,M,11,1097,0,60,48,0
splacona_cz,300,64,M,12,1231,0,7,4,0
odmowa,0,20,M,99,728,0,3,2,0
splacona_cz,600,63,K,13,3700,0,31,48,0
splacona_cz,500,54,K,11,1700,0,209,48,0
splacona_cz,200,61,K,13,917,0,81,48,0
splacona_cz,247.28,58,K,13,611,7,143,48,2
splacona_cz,300,47,K,11,900,8,97,48,6
splacona_cz,300,71,K,13,729.03,2,261,48,4
splacona,300,54,M,11,1300,0,456,48,0
windykacja,200,49,M,11,1600,2,346,48,1868
splacona,400,43,M,11,2636,0,46,48,0
splacona,392.6,55,K,11,2368.57,1,414,48,172
odmowa,0,74,M,13,2112,0,109,48,0
splacona_cz,300,50,M,13,3900,9,34,48,4
splacona,500,31,M,12,1700,0,119,48,172
windykacja,293.42,41,K,12,1896,2,18,1,1868
splacona_cz,325.58,53,K,11,2065.98,1,183,48,8
splacona_cz,202.28,61,M,11,3000,9,216,48,0
splacona_cz,205.44,66,K,13,1350,7,115,48,0
splacona_cz,350,55,K,12,1700,9,69,48,0
windykacja,400,37,K,11,1228,0,37,48,1868
splacona_cz,550,55,K,12,1675,8,13,0,4
splacona,500,25,M,11,2000,0,40,48,0
odmowa,0,51,K,12,1200,0,83,48,0
splacona_cz,300,61,K,13,810,9,37,48,0
splacona,200,54,K,13,1213,0,53,48,7
splacona_cz,600,46,M,12,3500,3,215,48,0
splacona_cz,500,48,M,13,864.34,3,160,48,0
windykacja,400,64,K,13,917,2,80,48,1867
odmowa,0,73,K,13,722,0,214,48,0
windykacja,600,36,M,99,2880,0,12,10,1867
splacona,237.94,65,K,13,840,6,117,48,4
splacona,227.88,66,M,12,1100,8,35,9,0
splacona_cz,600,55,K,11,2800,0,63,48,5
windykacja,500,45,M,11,2000,0,8,48,1867
splacona_cz,1000,48,K,11,5800,8,58,48,3
splacona_cz,500,61,K,13,1000,8,72,48,0
splacona_cz,500,76,K,13,1248,2,254,48,0
splacona,200,58,M,13,12220,0,75,48,4
splacona_cz,537.15,63,K,13,962,4,69,48,3
splacona_cz,300,34,K,11,1380,0,30,48,0
splacona,300,61,K,13,1087.72,0,5,48,0
splacona_cz,441.54,36,K,98,4000,8,22,48,4
splacona,200,64,M,13,1287.66,7,100,48,10
splacona_cz,200,57,K,15,678,0,144,48,0
odmowa,0,28,M,12,1148,0,23,13,0
splacona,200,50,K,12,976,0,2,1,0
splacona_cz,300,57,K,11,1800,1,115,48,0
splacona_cz,500,65,M,11,2600,0,139,48,2
splacona_cz,300,60,M,11,2000,3,73,48,4
splacona_cz,200,28,M,12,1400,3,5,0,0
splacona_cz,300,76,K,13,821.35,0,250,48,0
splacona_cz,700,68,K,13,1431,1,251,48,0
splacona,400,54,M,11,4000,9,14,48,18
splacona_cz,200,62,K,13,975,8,31,48,14
splacona,200,32,M,98,2000,0,18,48,0
splacona_cz,600,44,K,11,1443,3,37,48,1
splacona_cz,400,57,M,11,1842.86,7,11,48,0
odmowa,0,52,M,11,2505.34,0,12,48,0
splacona_cz,300,60,K,13,1098,0,60,48,0
splacona_cz,600,63,K,13,714,2,226,48,0
splacona,600,40,K,11,1800,1,55,48,9
splacona_cz,430,39,M,11,2470,5,70,48,7
splacona_cz,450,69,K,13,1019,1,136,48,0
splacona,200,58,M,11,1800,2,164,48,0
odmowa,0,59,M,12,918,0,86,48,0
splacona,300,25,M,12,1440,0,23,16,0
splacona_cz,300,38,K,12,1382,2,35,10,0
splacona_cz,300,62,K,13,992.96,0,16,48,0
splacona,1000,58,M,13,3600,3,90,48,0
splacona_cz,600,33,M,11,2200,0,132,48,4
splacona_cz,387.11,75,K,13,1373,1,114,48,0
splacona_cz,280.88,63,M,13,2000,2,38,48,0
splacona_cz,400,45,M,11,3300,2,240,48,0
splacona_cz,200,73,K,13,785,5,68,48,0
splacona,650,60,M,13,3900,1,118,48,2
splacona,311.65,36,K,11,2709.34,9,185,48,0
splacona_cz,200,50,M,12,822,0,130,48,0
splacona_cz,400,50,K,11,1764,2,68,48,0
splacona,300,69,M,13,1689.98,0,85,48,0
odmowa,0,28,K,12,1082,0,7,4,0
splacona_cz,500,59,M,16,1770,9,93,48,0
splacona,290,62,K,13,1280,9,21,48,0
splacona,500,63,K,13,1474.55,1,69,48,21
splacona_cz,300,59,K,13,1240,1,74,48,0
splacona_cz,500,61,K,13,1800,0,73,48,0
splacona_cz,240,57,K,11,1172.2,8,41,48,3
windykacja,500,39,M,13,1648,0,17,48,1862
splacona_cz,643.05,52,K,11,3200,8,58,48,1
splacona,585.7,62,K,13,1050,9,143,48,0
odmowa,0,26,M,12,1135,0,23,14,0
splacona_cz,700,60,M,11,2800,1,100,48,0
splacona_cz,1000,58,M,12,2500,7,10,1,0
splacona_cz,200,78,K,13,1100,0,252,48,5
splacona_cz,836,62,K,13,1362,8,60,48,2
splacona_cz,400,61,K,13,1208,0,84,48,0
splacona_cz,400,68,K,13,1094,1,188,48,5
splacona_cz,390.11,60,K,12,1320,2,35,21,12
splacona_cz,249.9,26,M,11,1600,1,7,48,0
windykacja_sp,429.69,57,K,11,1730.13,0,197,48,239
splacona,300,41,K,12,1450,0,60,48,0
splacona_cz,281.84,47,K,12,1032,0,52,48,4
splacona_cz,600,74,K,13,1936,0,504,48,8
splacona,400,64,K,13,1547,0,37,48,0
splacona,500,25,M,11,2327.94,0,39,48,4
splacona_cz,348.26,39,K,11,2927,7,205,48,0
splacona,300,61,M,16,1865,0,336,48,0
splacona_cz,500,63,K,13,1879,0,40,48,1
splacona_cz,600,24,K,98,5000,0,5,48,4
odmowa,0,56,K,12,1036,0,26,10,0
splacona_cz,700,69,K,16,980,2,134,48,7
splacona_cz,500,54,M,11,1200,0,217,48,0
splacona_cz,300,32,M,11,2725,1,57,48,0
splacona_cz,481.74,48,M,13,1500,3,90,48,0
splacona,300,60,K,99,900,0,94,48,0
splacona,1000,37,K,11,1900,0,183,48,13
splacona_cz,300,71,K,13,1257,0,132,48,3
splacona_cz,300,67,M,13,2110,2,105,48,0
splacona_cz,584.54,63,M,13,2474,1,19,48,0
splacona_cz,780,48,K,12,830.46,7,71,48,13
splacona_cz,292.28,67,K,13,1428.55,2,141,48,6
splacona,200,42,K,11,1000,0,65,48,3
splacona_cz,500,53,M,11,2011,2,215,48,4
odmowa,0,52,M,12,1400,0,34,9,0
splacona_cz,300,31,M,12,2100,0,14,10,0
splacona,200,46,M,11,2100,4,54,48,0
windykacja_sp,303.13,41,M,11,1261.98,1,40,48,24
splacona_cz,800,62,K,13,5100,4,32,48,0
splacona,297.03,60,K,13,1300,2,34,48,0
splacona,500,47,M,13,2692.96,0,2,48,11
splacona_cz,300,57,M,11,1170,1,71,48,0
odmowa,0,26,M,12,1200,0,48,23,0
windykacja,700,65,K,13,1507,0,63,48,1860
splacona,310.37,55,K,11,1721.7,9,124,48,13
splacona,200,69,M,13,1162.41,3,108,48,0
splacona_cz,300,30,M,11,1590,3,57,48,2
splacona_cz,478.16,50,M,11,2500,3,378,48,2
splacona_cz,400,59,K,13,1514,0,50,48,0
splacona_cz,400,79,K,13,1239.98,0,259,48,0
splacona_cz,600,54,K,16,1362,1,33,48,0
odmowa,0,29,K,12,1156,0,107,48,0
splacona_cz,600,81,M,13,2547,3,198,48,0
odmowa,0,21,K,12,1189,0,26,18,0
splacona_cz,300,46,K,12,1294,0,15,10,0
splacona_cz,292.26,38,K,12,2000,1,158,48,3
odmowa,0,36,M,99,2300,0,12,0,0
splacona_cz,292.73,49,K,11,1077.49,3,376,48,0
splacona,400,22,M,12,1500,0,11,0,0
splacona_cz,400,63,K,13,1650,1,86,48,0
splacona,400,61,K,13,1425,1,83,48,0
splacona_cz,600,33,K,11,1331.21,8,23,48,1
windykacja_sp,300,54,M,11,981,1,24,48,170
odmowa,0,29,K,99,1300,0,118,48,0
odmowa,0,54,K,12,1107,0,14,7,0
splacona_cz,300,55,K,17,864.6,0,7,1,0
splacona_cz,200,27,K,12,1100,5,29,10,4
splacona_cz,400.91,40,K,11,1239.05,1,208,48,5
splacona_cz,300,68,K,13,783,0,157,48,0
splacona_cz,400,76,K,13,1900,5,125,48,0
splacona,450,47,M,11,2300,1,124,48,0
splacona_cz,389.72,53,K,98,3000,5,89,48,0
splacona,200,54,K,99,1100,6,57,48,0
splacona_cz,200,62,K,13,984,4,15,48,0
splacona,290.83,62,K,13,1090.14,8,79,48,21
splacona,500,57,M,13,1900,9,154,48,0
splacona,476.83,62,M,11,1250,0,69,48,16
splacona_cz,326.67,64,K,13,1668,9,95,48,2
splacona_cz,300,30,M,11,1900,0,62,48,0
splacona_cz,299.42,78,K,13,1239,1,274,48,2
splacona_cz,500,76,M,13,1150,1,142,48,8
splacona_cz,200,71,K,13,865,9,132,48,3
windykacja_sp,300,66,K,13,1400,2,122,48,164
splacona_cz,200,65,K,13,796.09,0,60,48,0
splacona,300,54,K,16,1740,2,118,48,11
splacona_cz,397.11,52,M,13,4200,1,61,48,0
splacona,300,64,M,11,1660,0,54,48,3
splacona_cz,300,40,K,12,1323.55,0,75,48,7
splacona_cz,384.3,36,M,11,1058,4,18,48,0
splacona,200,27,M,12,1100,0,59,48,2
splacona_cz,300,55,K,11,1686,0,102,48,0
splacona_cz,299.01,53,K,11,1400,5,165,48,2
windykacja,200,28,M,17,728,9,130,48,1855
splacona_cz,200,21,M,17,985,0,20,2,0
splacona,500,37,M,12,2000,1,71,48,0
odmowa,0,25,M,12,1075,0,23,18,0
splacona_cz,200,57,M,12,1600,0,60,48,0
splacona,200,66,M,13,1611,1,145,48,3
splacona_cz,300,80,K,13,1167.94,4,373,48,1
splacona_cz,500,52,K,11,1700,8,310,48,8
splacona_cz,300,71,K,13,1389,1,72,48,0
windykacja,784.54,56,K,12,1350,2,27,0,1854
splacona,300,34,K,12,2139,0,132,48,0
splacona_cz,300,58,K,11,1680,8,389,48,1
splacona_cz,500,50,K,11,1800,9,57,48,0
splacona_cz,200,38,K,12,599.03,0,24,1,7
splacona_cz,200,21,K,12,1394,0,23,21,0
splacona_cz,400,67,K,13,850,8,71,48,0
splacona_cz,200,54,M,11,2094.17,5,245,48,0
splacona,1000,70,K,13,2291,5,75,48,0
splacona_cz,300,71,M,13,1642.87,3,73,48,1
